"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 01:19:28,276",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 01:20:36,019",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:21:42,861",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:22:52,265",8,8,90,4,40,40,True,32,32,200,4,33
"2016-11-16 01:23:52,561",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:25:16,114",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:26:12,735",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:27:27,307",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:28:48,237",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 01:30:11,034",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:31:25,801",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 01:32:36,473",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:33:59,795",8,8,90,4,40,40,True,32,32,200,0,105
"2016-11-16 01:35:27,329",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:36:51,264",8,8,90,4,40,40,True,32,32,200,0,69
"2016-11-16 01:38:13,425",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:39:37,350",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:40:49,231",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:42:07,015",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:43:14,677",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:44:10,279",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 01:45:40,180",8,8,90,4,40,40,True,32,32,200,0,102
"2016-11-16 01:47:01,652",8,8,90,4,40,40,True,32,32,200,20,12
"2016-11-16 01:48:22,342",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:49:43,560",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:50:56,306",8,8,90,4,40,40,True,32,32,200,22,11
"2016-11-16 01:51:58,058",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:53:04,637",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:54:20,987",8,8,90,4,40,40,True,32,32,200,23,9
"2016-11-16 01:55:37,546",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:56:46,072",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:57:58,030",8,8,90,4,40,40,True,32,32,200,24,9
"2016-11-16 01:58:57,411",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:00:11,336",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:01:34,413",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:02:48,314",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:03:51,060",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:05:04,780",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:06:21,411",8,8,90,4,40,40,True,32,32,200,16,18
"2016-11-16 02:07:50,592",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:09:20,698",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:10:54,635",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:12:19,373",8,8,90,4,40,40,True,32,32,200,22,17
