"2017-05-01 14:16:48,510",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 14:19:34,994","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.42,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 14:22:23,550","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.85,500,100,50,0,0,1001,0,1001,0,1000
"2017-05-01 14:25:10,375","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,39.01,500,100,50,0,0,1001,0,1002,0,1000
"2017-05-01 14:27:56,417","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.59,500,100,50,0,0,1002,0,1002,0,1001
"2017-05-01 14:30:42,806","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.62,500,100,50,0,0,1000,0,1003,0,1003
"2017-05-01 14:33:30,188","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.26,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 14:36:17,462","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.49,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 14:39:03,147","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.47,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 14:41:48,789","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.44,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:44:33,858","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.67,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 14:47:19,619","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.30,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-01 14:50:04,956","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.68,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 14:52:49,690","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.46,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:55:35,516","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.44,500,100,50,0,0,1000,0,1000,0,1003
"2017-05-01 14:58:21,184","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.44,500,100,50,0,0,1001,0,1002,0,1002
"2017-05-01 15:01:06,206","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.28,500,100,50,0,0,1000,0,1002,0,1001
"2017-05-01 15:03:53,040","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.69,500,100,50,0,0,1001,0,1000,0,1004
"2017-05-01 15:06:39,752","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.56,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:09:25,320","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.41,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 15:12:11,729","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.33,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:14:57,971","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.63,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 15:18:05,426","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,44.17,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-01 15:21:35,186","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.38,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 15:25:04,253","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.35,500,100,50,0,0,1000,0,1001,0,1002
"2017-05-01 15:28:33,002","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.34,500,100,50,0,0,1000,0,1002,0,1001
