"2017-05-02 19:36:12,980",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:37:00,343","32","40",102,4,0,0,True,LinearRegression,37.02,32,32,200,1,32,0
"2017-05-02 19:37:47,860","32","40",102,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 19:38:48,565","32","40",102,4,0,0,True,LinearRegression,49.97,32,32,200,1,32,0
"2017-05-02 19:39:38,206","32","40",102,4,0,0,True,LinearRegression,38.53,32,32,200,1,32,0
"2017-05-02 19:40:24,929","32","40",102,4,0,0,True,LinearRegression,36.63,32,32,200,1,32,0
"2017-05-02 19:41:12,217","32","40",102,4,0,0,True,LinearRegression,37.19,32,32,200,1,32,0
"2017-05-02 19:41:59,438","32","40",102,4,0,0,True,LinearRegression,36.78,32,32,200,1,32,0
"2017-05-02 19:42:46,511","32","40",102,4,0,0,True,LinearRegression,36.94,32,32,200,1,32,0
"2017-05-02 19:43:34,006","32","40",102,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 19:44:20,331","32","40",102,4,0,0,True,LinearRegression,36.27,32,32,200,1,32,0
"2017-05-02 19:45:07,719","32","40",102,4,0,0,True,LinearRegression,36.90,32,32,200,1,32,0
"2017-05-02 19:45:54,725","32","40",102,4,0,0,True,LinearRegression,36.96,32,32,200,1,32,0
"2017-05-02 19:46:41,908","32","40",102,4,0,0,True,LinearRegression,36.81,32,32,200,1,32,0
"2017-05-02 19:47:29,230","32","40",102,4,0,0,True,LinearRegression,37.10,32,32,200,1,32,0
"2017-05-02 19:48:17,124","32","40",102,4,0,0,True,LinearRegression,37.33,32,32,200,1,32,0
"2017-05-02 19:49:03,151","32","40",102,4,0,0,True,LinearRegression,36.09,32,32,200,0,31,1
"2017-05-02 19:49:49,737","32","40",102,4,0,0,True,LinearRegression,36.35,32,32,200,1,32,0
"2017-05-02 19:50:36,628","32","40",102,4,0,0,True,LinearRegression,36.86,32,32,200,1,32,0
"2017-05-02 19:51:23,564","32","40",102,4,0,0,True,LinearRegression,36.67,32,32,200,1,32,0
"2017-05-02 19:52:10,548","32","40",102,4,0,0,True,LinearRegression,36.61,32,32,200,1,32,0
"2017-05-02 19:52:57,119","32","40",102,4,0,0,True,LinearRegression,36.33,32,32,200,1,32,0
"2017-05-02 19:53:43,489","32","40",102,4,0,0,True,LinearRegression,36.47,32,32,200,1,32,0
"2017-05-02 19:54:30,437","32","40",102,4,0,0,True,LinearRegression,36.61,32,32,200,1,32,0
"2017-05-02 19:55:17,057","32","40",102,4,0,0,True,LinearRegression,36.34,32,32,200,1,32,0
"2017-05-02 19:56:03,963","32","40",102,4,0,0,True,LinearRegression,37.02,32,32,200,1,32,0
