"2017-05-04 05:58:57,057",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 06:00:44,844","20","50",90,12,12,12,True,LinearRegression,4,4.74,58,370,58
"2017-05-04 06:02:35,506","20","50",90,12,12,12,True,LinearRegression,4,6.83,59,370,59
"2017-05-04 06:04:23,836","20","50",90,12,12,12,True,LinearRegression,4,4.69,60,370,60
"2017-05-04 06:06:13,572","20","50",90,12,12,12,True,LinearRegression,4,7.67,68,370,68
"2017-05-04 06:08:04,026","20","50",90,12,12,12,True,LinearRegression,4,7.33,47,370,47
"2017-05-04 06:09:54,612","20","50",90,12,12,12,True,LinearRegression,4,7.49,60,370,60
"2017-05-04 06:11:45,567","20","50",90,12,12,12,True,LinearRegression,4,7.56,58,370,58
"2017-05-04 06:13:36,348","20","50",90,12,12,12,True,LinearRegression,4,6.93,61,370,61
"2017-05-04 06:15:26,367","20","50",90,12,12,12,True,LinearRegression,4,6.86,56,370,56
"2017-05-04 06:17:17,674","20","50",90,12,12,12,True,LinearRegression,4,7.26,62,370,62
"2017-05-04 06:19:07,944","20","50",90,12,12,12,True,LinearRegression,4,5.94,55,370,55
"2017-05-04 06:20:58,863","20","50",90,12,12,12,True,LinearRegression,4,6.91,56,370,56
"2017-05-04 06:22:49,103","20","50",90,12,12,12,True,LinearRegression,4,6.78,58,370,58
"2017-05-04 06:24:40,017","20","50",90,12,12,12,True,LinearRegression,4,6.87,59,370,59
"2017-05-04 06:26:30,038","20","50",90,12,12,12,True,LinearRegression,4,6.49,51,370,51
"2017-05-04 06:28:20,480","20","50",90,12,12,12,True,LinearRegression,4,6.45,65,370,65
"2017-05-04 06:30:10,307","20","50",90,12,12,12,True,LinearRegression,4,5.98,46,370,46
"2017-05-04 06:32:00,061","20","50",90,12,12,12,True,LinearRegression,4,5.00,58,370,58
"2017-05-04 06:33:50,224","20","50",90,12,12,12,True,LinearRegression,4,6.86,60,370,60
"2017-05-04 06:35:39,600","20","50",90,12,12,12,True,LinearRegression,4,7.03,47,370,47
"2017-05-04 06:37:30,817","20","50",90,12,12,12,True,LinearRegression,4,6.74,55,370,55
"2017-05-04 06:39:19,194","20","50",90,12,12,12,True,LinearRegression,4,4.50,64,370,64
"2017-05-04 06:41:08,297","20","50",90,12,12,12,True,LinearRegression,4,6.78,51,370,51
"2017-05-04 06:42:59,742","20","50",90,12,12,12,True,LinearRegression,4,7.04,56,370,56
"2017-05-04 06:44:48,887","20","50",90,12,12,12,True,LinearRegression,4,5.42,50,370,50
