"2016-11-21 11:43:49,630",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-21 11:44:05,891",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:44:22,863",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:44:39,056",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:44:56,880",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-21 11:45:14,699",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,12,24,32,0
"2016-11-21 11:45:31,741",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:45:47,882",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:46:03,872",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:46:21,579",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:46:37,395",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,17,18,23,10
"2016-11-21 11:46:57,667",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,30,2
"2016-11-21 11:47:14,270",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:47:33,096",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,16,24,17,16
"2016-11-21 11:47:54,669",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-21 11:48:15,529",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:48:34,084",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,8,32,2,45
"2016-11-21 11:48:53,021",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:49:10,814",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:49:28,348",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,29,3
"2016-11-21 11:49:46,462",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-21 11:50:05,304",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:50:24,798",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,26,6
"2016-11-21 11:50:44,068",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:51:03,465",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,8,32,32,0
"2016-11-21 11:51:21,134",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:51:40,260",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:51:58,134",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:52:17,168",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:52:36,562",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:52:54,613",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-21 11:53:13,859",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:53:31,571",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,19,13,19,13
"2016-11-21 11:53:51,941",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:54:13,434",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:54:32,572",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-21 11:54:49,619",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:55:06,719",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,26,6
"2016-11-21 11:55:23,785",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-21 11:55:40,861",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:55:58,943",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:56:20,155",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:56:38,812",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:56:55,665",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:57:13,891",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:57:31,215",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,15,17
"2016-11-21 11:57:48,200",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:58:07,018",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:58:25,430",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,29,3
"2016-11-21 11:58:42,554",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,8,30,13,26
"2016-11-21 11:59:01,480",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:59:20,541",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 11:59:39,829",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,9,23,25,7
"2016-11-21 11:59:59,669",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 12:00:18,783",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-21 12:00:36,955",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
