"2016-11-19 01:22:50,900",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 01:22:57,670",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,110,20,21
"2016-11-19 01:23:04,592",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,98,21,13
"2016-11-19 01:23:11,396",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,152,6,57
"2016-11-19 01:23:18,287",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,3,85,19,17
"2016-11-19 01:23:25,236",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,116,16,23
"2016-11-19 01:23:31,827",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,107,20,17
"2016-11-19 01:23:38,448",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,123,10,33
"2016-11-19 01:23:45,236",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,108,16,23
"2016-11-19 01:23:52,342",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,121,16,28
"2016-11-19 01:23:58,734",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,125,13,29
"2016-11-19 01:24:05,860",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,130,7,36
"2016-11-19 01:24:12,706",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,143,10,49
"2016-11-19 01:24:19,976",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,106,12,29
"2016-11-19 01:24:27,309",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,84,22,15
"2016-11-19 01:24:34,470",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,99,17,29
"2016-11-19 01:24:41,645",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,147,10,50
"2016-11-19 01:24:48,472",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,92,15,23
"2016-11-19 01:24:55,320",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,6,59,22,12
"2016-11-19 01:25:01,808",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,139,8,52
"2016-11-19 01:25:08,552",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,93,24,8
"2016-11-19 01:25:14,968",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,90,19,19
"2016-11-19 01:25:21,080",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,143,11,53
"2016-11-19 01:25:29,062",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,122,13,41
"2016-11-19 01:25:35,274",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,95,19,15
"2016-11-19 01:25:42,102",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,110,9,38
"2016-11-19 01:25:49,051",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,4,60,25,7
"2016-11-19 01:25:55,882",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,94,20,16
"2016-11-19 01:26:02,846",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,91,17,18
"2016-11-19 01:26:09,099",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,131,11,32
"2016-11-19 01:26:15,487",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,142,12,43
"2016-11-19 01:26:23,172",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,66,24,9
"2016-11-19 01:26:29,952",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,123,13,30
"2016-11-19 01:26:37,098",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,128,11,37
"2016-11-19 01:26:44,359",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,154,3,74
"2016-11-19 01:26:50,449",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,126,14,28
"2016-11-19 01:26:56,955",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,82,19,15
"2016-11-19 01:27:04,168",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,88,21,13
"2016-11-19 01:27:11,144",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,135,18,27
"2016-11-19 01:27:18,247",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,5,78,17,18
"2016-11-19 01:27:24,465",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,99,17,22
"2016-11-19 01:27:31,358",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,121,18,23
"2016-11-19 01:27:37,571",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,149,10,47
"2016-11-19 01:27:44,125",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,106,15,22
"2016-11-19 01:27:51,189",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,110,16,21
"2016-11-19 01:27:58,094",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,131,10,32
"2016-11-19 01:28:05,629",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,159,3,69
"2016-11-19 01:28:12,646",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,80,20,12
"2016-11-19 01:28:19,085",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,102,15,21
"2016-11-19 01:28:26,058",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,81,17,20
"2016-11-19 01:28:32,771",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,3,62,24,9
"2016-11-19 01:28:39,567",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,116,20,18
"2016-11-19 01:28:46,257",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,116,17,26
"2016-11-19 01:28:53,048",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,3,81,21,13
"2016-11-19 01:28:59,764",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,144,6,84
"2016-11-19 01:29:06,651",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,124,15,21
"2016-11-19 01:29:13,651",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,95,14,23
"2016-11-19 01:29:20,690",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,136,11,36
"2016-11-19 01:29:27,516",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,1,100,22,13
"2016-11-19 01:29:33,722",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,2,107,12,30
"2016-11-19 01:29:40,659",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,148,10,47
"2016-11-19 01:29:48,347",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,107,17,23
"2016-11-19 01:29:54,562",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,0,142,7,48
