"2016-11-19 11:18:22,239",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 11:18:25,955",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,17,15
"2016-11-19 11:18:29,439",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,16,16
"2016-11-19 11:18:33,641",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,18,16,17
"2016-11-19 11:18:37,483",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,15,17
"2016-11-19 11:18:41,051",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,11,26,22,10
"2016-11-19 11:18:44,626",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,17,15
"2016-11-19 11:18:48,149",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:18:51,909",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,17,15,19,13
"2016-11-19 11:18:55,610",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,20,14,19
"2016-11-19 11:19:01,460",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,17,15,18,14
"2016-11-19 11:19:07,824",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,17,15,21,11
"2016-11-19 11:19:14,057",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,20,12
"2016-11-19 11:19:19,853",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,10,24,12,26
"2016-11-19 11:19:25,437",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,16,16
"2016-11-19 11:19:31,412",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,20,12
"2016-11-19 11:19:37,503",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,19,13
"2016-11-19 11:19:43,334",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:19:49,141",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,18,14
"2016-11-19 11:19:55,326",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,16,16
"2016-11-19 11:20:01,363",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,17,15
"2016-11-19 11:20:07,679",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,17,15
"2016-11-19 11:20:13,381",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,19,13
"2016-11-19 11:20:19,136",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,17,15
"2016-11-19 11:20:25,330",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,18,15,18
"2016-11-19 11:20:31,550",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,24,18,15
"2016-11-19 11:20:37,502",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:20:45,122",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,19,13
"2016-11-19 11:20:51,557",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,16,16
"2016-11-19 11:20:57,669",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,11,21,20,12
"2016-11-19 11:21:03,600",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:21:09,615",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,18,16,17
"2016-11-19 11:21:15,524",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,20,12
"2016-11-19 11:21:21,752",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,14,18
"2016-11-19 11:21:27,582",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,10,23,15,17
"2016-11-19 11:21:36,185",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,21,11
"2016-11-19 11:21:42,809",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,10,28,14,24
"2016-11-19 11:21:49,812",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,19,13
"2016-11-19 11:21:56,861",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,11,21,19,13
"2016-11-19 11:22:05,529",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:22:12,452",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,20,12
"2016-11-19 11:22:19,513",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,18,14
"2016-11-19 11:22:26,094",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,17,19,13
"2016-11-19 11:22:32,782",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,16,16
"2016-11-19 11:22:41,386",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,21,15,20
"2016-11-19 11:22:48,681",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,11,21,19,13
"2016-11-19 11:22:54,919",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,11,21,18,14
"2016-11-19 11:23:03,036",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,19,13
"2016-11-19 11:23:09,750",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,17,15
"2016-11-19 11:23:15,849",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:23:24,139",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,10,22,18,14
"2016-11-19 11:23:31,213",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,20,12
"2016-11-19 11:23:37,844",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,10,22,21,11
"2016-11-19 11:23:44,274",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,20,12
"2016-11-19 11:23:52,177",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,20,12
"2016-11-19 11:23:58,511",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,16,16
"2016-11-19 11:24:05,419",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,19,12,22
"2016-11-19 11:24:12,332",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:24:19,054",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:24:25,265",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,17,15,17,15
"2016-11-19 11:24:32,822",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:24:40,115",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,19,13
"2016-11-19 11:24:46,628",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,5,55,1,53
"2016-11-19 11:24:53,615",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:25:00,360",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,20,12
"2016-11-19 11:25:07,210",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,7,37,15,18
"2016-11-19 11:25:14,194",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,19,22,10
"2016-11-19 11:25:20,769",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,20,12
