"2016-11-19 04:13:45,160",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 04:13:53,002",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,128
"2016-11-19 04:13:59,505",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:14:06,388",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
"2016-11-19 04:14:13,231",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,128
"2016-11-19 04:14:19,285",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,91
"2016-11-19 04:14:26,251",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:14:34,173",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:14:40,681",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:14:47,350",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:14:54,205",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:15:00,988",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,86
"2016-11-19 04:15:07,497",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:15:14,557",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
"2016-11-19 04:15:20,594",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:15:28,499",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,85
"2016-11-19 04:15:35,466",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:15:42,013",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,79
"2016-11-19 04:15:49,106",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,159,3,65
"2016-11-19 04:15:55,892",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:16:02,144",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:16:08,426",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,128
"2016-11-19 04:16:15,029",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:16:22,044",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:16:28,698",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:16:35,510",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:16:42,479",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,128
"2016-11-19 04:16:49,595",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
"2016-11-19 04:16:56,252",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:17:02,798",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:17:09,181",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
"2016-11-19 04:17:15,849",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:17:23,401",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:17:29,830",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 04:17:36,520",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,80
"2016-11-19 04:17:44,301",4,4,126,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
