"2017-05-04 11:39:31,211",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 11:44:04,361","20,20","50,50",102,12,12,12,True,LinearRegression,4,35.01,99,1480,623,370,99
"2017-05-04 11:48:34,669","20,20","50,50",102,12,12,12,True,LinearRegression,4,31.61,87,1480,616,370,87
"2017-05-04 11:53:11,109","20,20","50,50",102,12,12,12,True,LinearRegression,4,32.57,100,1480,601,370,100
"2017-05-04 11:57:44,843","20,20","50,50",102,12,12,12,True,LinearRegression,4,33.04,100,1480,608,370,100
"2017-05-04 12:02:20,168","20,20","50,50",102,12,12,12,True,LinearRegression,4,31.29,96,1480,608,370,96
"2017-05-04 12:06:44,988","20,20","50,50",102,12,12,12,True,LinearRegression,4,26.61,98,1480,617,370,98
"2017-05-04 12:11:16,689","20,20","50,50",102,12,12,12,True,LinearRegression,4,30.21,98,1480,625,370,98
"2017-05-04 12:15:46,785","20,20","50,50",102,12,12,12,True,LinearRegression,4,25.63,96,1480,590,370,96
"2017-05-04 12:20:17,493","20,20","50,50",102,12,12,12,True,LinearRegression,4,32.36,92,1480,599,370,92
"2017-05-04 12:24:56,931","20,20","50,50",102,12,12,12,True,LinearRegression,4,40.36,84,1480,611,370,84
"2017-05-04 12:29:38,129","20,20","50,50",102,12,12,12,True,LinearRegression,4,41.58,102,1480,601,370,102
"2017-05-04 12:34:16,099","20,20","50,50",102,12,12,12,True,LinearRegression,4,37.92,93,1480,589,370,93
"2017-05-04 12:38:45,912","20,20","50,50",102,12,12,12,True,LinearRegression,4,27.55,95,1480,606,370,95
"2017-05-04 12:43:23,972","20,20","50,50",102,12,12,12,True,LinearRegression,4,38.31,97,1480,615,370,97
"2017-05-04 12:47:57,593","20,20","50,50",102,12,12,12,True,LinearRegression,4,32.28,103,1480,632,370,103
"2017-05-04 12:52:29,204","20,20","50,50",102,12,12,12,True,LinearRegression,4,33.38,99,1480,598,370,99
"2017-05-04 12:56:59,984","20,20","50,50",102,12,12,12,True,LinearRegression,4,34.28,99,1480,611,370,99
"2017-05-04 13:01:35,493","20,20","50,50",102,12,12,12,True,LinearRegression,4,32.73,101,1480,601,370,101
"2017-05-04 13:06:06,916","20,20","50,50",102,12,12,12,True,LinearRegression,4,34.21,97,1480,647,370,97
"2017-05-04 13:10:37,173","20,20","50,50",102,12,12,12,True,LinearRegression,4,33.39,111,1480,612,370,111
"2017-05-04 13:14:53,222","20,20","50,50",102,12,12,12,True,LinearRegression,4,23.91,104,1480,617,370,104
