"2017-05-02 19:57:25,339",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 20:07:54,022","32","40",110,4,0,0,True,LinearRegression,37.30,32,32,200,1,32,0
"2017-05-02 20:08:41,476","32","40",110,4,0,0,True,LinearRegression,37.30,32,32,200,1,32,0
"2017-05-02 20:09:28,343","32","40",110,4,0,0,True,LinearRegression,36.82,32,32,200,1,32,0
"2017-05-02 20:10:15,631","32","40",110,4,0,0,True,LinearRegression,37.25,32,32,200,1,32,0
"2017-05-02 20:11:03,331","32","40",110,4,0,0,True,LinearRegression,37.52,32,32,200,1,32,0
"2017-05-02 20:11:50,505","32","40",110,4,0,0,True,LinearRegression,36.97,32,32,200,1,32,0
"2017-05-02 20:12:37,371","32","40",110,4,0,0,True,LinearRegression,36.85,32,32,200,1,32,0
"2017-05-02 20:13:24,633","32","40",110,4,0,0,True,LinearRegression,37.27,32,32,200,1,32,0
"2017-05-02 20:14:11,641","32","40",110,4,0,0,True,LinearRegression,37.01,32,32,200,1,32,0
"2017-05-02 20:14:58,439","32","40",110,4,0,0,True,LinearRegression,36.70,32,32,200,1,32,0
"2017-05-02 20:15:48,946","32","40",110,4,0,0,True,LinearRegression,41.03,32,32,200,1,32,0
